"","x"
"1","almonds, almond butter, with salt"
"2","almonds, raw (dried - unblanched)"
"3","almonds, roasted, dry roasted, unsalted"
"4","apple, applesauce, canned, unsweetened"
"5","apple, fresh, with skin"
"6","asparagus, cooked from fresh"
"7","avocado, black skin - California type"
"8","bacon, regular, regular cut, regular"
"9","bagel, white, with fruit"
"10","baked beans, vegetarian"
"11","banana, fresh or ripe"
"12","barbecue sauce, commercial"
"13","basil, fresh"
"14","beets, canned - drained, regular"
"15","beets, cooked from fresh"
"16","berries, unknown type, fresh"
"17","blueberries, fresh"
"18","bran flakes, with raisins"
"19","bread, loaf, 7-grain, regular"
"20","bread, naan (Indian tandoori bread)"
"21","bread, toaster pastry or pop tart, regular, regular"
"22","broccoli, cooked from fresh"
"23","Brussels sprouts, cooked from fresh"
"24","Brussels sprouts, raw"
"25","buns, hot cross bun"
"26","burger on a bun, ""quarter pound"", with catsup and mayonnaise, with lettuce, pickle, onion & mustard"
"27","butter, regular, salted"
"28","cabbage, green, raw"
"29","cake, chocolate, unknown type, frosted"
"30","cake, made with gelatin powder, frosted"
"31","cake, sponge, white or flavored, not frosted or glazed"
"32","cake, unknown type, unknown type, frosted"
"33","candy, Hershey's Milk Chocolate Bar with Almonds"
"34","candy, M & M's Mint Chocolate Candies"
"35","candy, Milky Way"
"36","candy, Snickers"
"37","cantaloupe, fresh"
"38","carrots, raw"
"39","cashews, raw"
"40","cereal, ready-to-eat, All-Bran Original (Kellogg's)"
"41","cereal, ready-to-eat, Nature Valley Baked Oat Bites (General Mills)"
"42","cereal, ready-to-eat, Rice Krispies (Kellogg's)"
"43","cereal, ready-to-eat, Wheat Chex (General Mills)"
"44","Cheddar cheese, natural"
"45","cheese, Follow Your Heart Vegan Gourmet - Cheddar"
"46","cheese, Follow Your Heart Vegan Gourmet - Monterey Jack"
"47","cheese, Laughing Cow Mini Babybel Original"
"48","cheeseburger on a bun, ""third pound"", without catsup or mayonnaise, plain - no other condiments"
"49","chef's salad, without dressing"
"50","chicken, breast, skin removed before cooking"
"51","chicken, recipe or mixed dish, with curry sauce"
"52","chicken, wing, skin eaten"
"53","Chipotle, barbacoa (beef)"
"54","Chipotle, black beans"
"55","Chipotle, brown rice"
"56","Chipotle, guacamole"
"57","Chipotle, roasted chili-corn salsa (medium)"
"58","chips - snack type, pita, regular"
"59","chips - snack type, potato, regular, salted"
"60","chocolate candy, chocolate candy bar, dark, plain, regular, 45% - 59% cacao"
